entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score,confidence,atr_ticks,vol_percentile
2019-08-08 18:15:00+00:00,2019-08-08 19:15:00+00:00,long,1,2926.5,2927.0,-3.45,TIME_EXIT,48,0.4376116870758872,0.12687446685442222,10.785714285714286,0.17
2019-08-09 18:40:00+00:00,2019-08-09 19:40:00+00:00,long,1,2923.25,2931.0,32.8,TIME_EXIT,48,0.4357915265990711,0.09200708331687396,12.071428571428571,0.39
2019-08-12 18:45:00+00:00,2019-08-12 19:45:00+00:00,long,1,2880.25,2884.5,15.3,TIME_EXIT,48,0.4360466298678854,0.062451416938776094,11.5,0.02
2019-10-03 18:45:00+00:00,2019-10-03 19:45:00+00:00,long,1,2905.0,2903.75,-12.2,TIME_EXIT,48,0.4371845017007367,0.11526362482968361,9.428571428571429,0.07
2019-10-07 18:40:00+00:00,2019-10-07 19:40:00+00:00,long,1,2945.75,2942.75,-20.95,TIME_EXIT,48,0.437191182824006,0.08104284804496104,13.642857142857142,0.85
2019-10-08 18:35:00+00:00,2019-10-08 19:35:00+00:00,long,1,2913.75,2908.25,-33.45,TIME_EXIT,48,0.43651101795866576,0.06799548718147391,12.928571428571429,0.11
2019-10-10 18:15:00+00:00,2019-10-10 19:15:00+00:00,long,1,2934.5,2935.75,0.2999999999999998,TIME_EXIT,48,0.4385077438504755,0.06817479529114884,13.642857142857142,0.73
2019-10-11 18:25:00+00:00,2019-10-11 19:25:00+00:00,long,1,2986.25,2989.0,7.8,TIME_EXIT,48,0.4348512005216602,0.097916199121929,13.285714285714286,0.2
2019-10-30 18:45:00+00:00,2019-10-30 19:45:00+00:00,long,1,3030.25,3043.25,59.05,TIME_EXIT,48,0.4354648468484994,0.062327257918526946,14.071428571428571,1.0
2019-12-12 19:50:00+00:00,2019-12-12 20:50:00+00:00,long,1,3165.0,3173.0,34.05,TIME_EXIT,48,0.43518884365312066,0.07938429553884435,14.357142857142858,0.75
2019-12-13 19:40:00+00:00,2019-12-13 20:40:00+00:00,long,1,3171.5,3173.25,2.8,TIME_EXIT,48,0.4353599161406662,0.08874986799203677,11.142857142857142,0.44
2020-01-14 19:25:00+00:00,2020-01-14 20:25:00+00:00,long,1,3281.25,3282.75,1.5499999999999998,TIME_EXIT,48,0.43536580024035204,0.08108596810693669,15.285714285714286,0.99
2020-01-27 19:45:00+00:00,2020-01-27 20:45:00+00:00,long,1,3254.75,3247.5,-42.2,TIME_EXIT,48,0.43507624817703544,0.07459207551819313,11.0,0.2
2020-01-29 19:50:00+00:00,2020-01-29 20:50:00+00:00,long,1,3287.25,3276.0,-62.2,TIME_EXIT,48,0.4385746830356851,0.08680482662789052,11.571428571428571,0.54
2020-02-03 19:40:00+00:00,2020-02-03 20:40:00+00:00,long,1,3246.5,3253.5,29.05,TIME_EXIT,48,0.43915388029953245,0.07443384063546449,11.714285714285714,0.1
2020-04-27 17:25:00+00:00,2020-04-27 18:25:00+00:00,long,1,2861.5,2868.0,26.55,TIME_EXIT,48,0.4348682218931406,0.08962590301057316,13.785714285714286,0.07
2020-04-27 18:30:00+00:00,2020-04-27 19:30:00+00:00,long,1,2868.25,2874.5,25.3,TIME_EXIT,48,0.44094990110262683,0.10453358599365331,13.214285714285714,0.02
2020-04-29 18:05:00+00:00,2020-04-29 19:05:00+00:00,long,1,2933.5,2941.25,32.8,TIME_EXIT,48,0.4459071684366961,0.10585421472357448,14.928571428571429,0.41
2020-05-05 18:05:00+00:00,2020-05-05 19:05:00+00:00,long,1,2883.75,2887.0,10.3,TIME_EXIT,48,0.4351454926785775,0.12060154082233004,12.071428571428571,0.16
2020-05-07 18:00:00+00:00,2020-05-07 19:00:00+00:00,long,1,2885.0,2872.5,-68.45,CATASTOP,48,0.43730032476722264,0.09426703714020118,12.0,0.01
2020-05-08 18:15:00+00:00,2020-05-08 19:15:00+00:00,long,1,2908.5,2914.25,22.8,TIME_EXIT,48,0.4355176943523541,0.09788496743036645,11.571428571428571,0.18
2020-05-11 18:35:00+00:00,2020-05-11 19:35:00+00:00,long,1,2928.5,2929.5,-0.9500000000000002,TIME_EXIT,48,0.4402365093889603,0.09891906319045979,12.714285714285714,0.63
2020-05-18 18:25:00+00:00,2020-05-18 19:25:00+00:00,long,1,2952.75,2953.25,-3.45,TIME_EXIT,48,0.4419860126256731,0.14274493260542542,12.142857142857142,0.15
2020-05-19 18:45:00+00:00,2020-05-19 19:00:00+00:00,long,1,2955.0,2940.5,-78.45,CATASTOP,48,0.43600844696352503,0.1140389185431962,10.5,0.01
2020-05-22 18:50:00+00:00,2020-05-22 19:50:00+00:00,long,1,2946.5,2947.75,0.2999999999999998,TIME_EXIT,48,0.438355297904455,0.08669492619721114,10.642857142857142,0.26
2020-05-28 18:10:00+00:00,2020-05-28 19:10:00+00:00,long,1,3061.5,3055.0,-38.45,TIME_EXIT,48,0.4379179675897731,0.10569776653374224,11.928571428571429,0.15
2020-06-05 18:10:00+00:00,2020-06-05 19:10:00+00:00,long,1,3201.25,3190.75,-58.45,TIME_EXIT,48,0.44307006667070903,0.1045810255946486,13.642857142857142,0.13
