entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,exit_reason,duration_minutes
2026-01-21 14:50:00+00:00,2026-01-21 15:30:00+00:00,SHORT,1,6872.5,6892.5,-103.74,stop,40.0
2026-01-21 15:35:00+00:00,2026-01-21 16:40:00+00:00,SHORT,1,6897.75,6872.0,125.01,target,65.0
2026-01-21 16:45:00+00:00,2026-01-21 17:05:00+00:00,SHORT,1,6873.0,6854.0,91.26,target,20.0
2026-01-21 17:10:00+00:00,2026-01-21 17:20:00+00:00,SHORT,1,6840.0,6854.75,-77.49,stop,10.0
2026-01-21 17:25:00+00:00,2026-01-21 18:50:00+00:00,SHORT,1,6855.0,6871.5,-86.24,stop,85.0
2026-01-21 18:55:00+00:00,2026-01-21 19:25:00+00:00,SHORT,1,6866.25,6881.25,-78.74,stop,30.0
2026-01-21 19:30:00+00:00,2026-01-21 19:40:00+00:00,SHORT,1,6911.75,6928.75,-88.74,stop,10.0
2026-01-21 19:45:00+00:00,2026-01-21 20:30:00+00:00,SHORT,1,6940.0,6909.5,148.76,target,45.0
2026-01-21 20:35:00+00:00,2026-01-22 01:20:00+00:00,SHORT,1,6915.0,6931.25,-84.99,stop,285.0
2026-01-22 01:50:00+00:00,2026-01-22 02:35:00+00:00,SHORT,1,6933.25,6928.0,22.509999999999998,target,45.0
2026-01-22 02:40:00+00:00,2026-01-22 03:00:00+00:00,SHORT,1,6928.75,6931.5,-17.490000000000002,stop,20.0
2026-01-22 07:10:00+00:00,2026-01-22 07:30:00+00:00,SHORT,1,6918.0,6923.5,-31.240000000000002,stop,20.0
2026-01-22 07:35:00+00:00,2026-01-22 07:40:00+00:00,SHORT,1,6924.5,6929.25,-27.490000000000002,stop,5.0
2026-01-22 07:45:00+00:00,2026-01-22 08:00:00+00:00,SHORT,1,6928.0,6933.25,-29.990000000000002,stop,15.0
2026-01-22 08:50:00+00:00,2026-01-22 12:00:00+00:00,LONG,1,6949.75,6943.25,-36.24,stop,190.0
2026-01-22 23:00:00+00:00,2026-01-22 23:20:00+00:00,SHORT,1,6936.25,6941.5,-29.990000000000002,stop,20.0
2026-01-22 23:55:00+00:00,2026-01-23 00:35:00+00:00,SHORT,1,6941.25,6946.75,-31.240000000000002,stop,40.0
2026-01-23 01:25:00+00:00,2026-01-23 03:15:00+00:00,LONG,1,6951.5,6957.25,25.009999999999998,target,110.0
2026-01-23 03:55:00+00:00,2026-01-23 05:10:00+00:00,LONG,1,6956.25,6960.0,15.01,target,75.0
2026-01-23 06:05:00+00:00,2026-01-23 06:35:00+00:00,LONG,1,6961.25,6958.75,-16.240000000000002,stop,30.0
2026-01-23 08:00:00+00:00,2026-01-23 08:10:00+00:00,LONG,1,6953.0,6949.75,-19.990000000000002,stop,10.0
2026-01-23 08:15:00+00:00,2026-01-23 08:25:00+00:00,LONG,1,6949.5,6945.5,-23.740000000000002,stop,10.0
2026-01-23 08:35:00+00:00,2026-01-23 08:50:00+00:00,LONG,1,6942.5,6937.5,-28.740000000000002,stop,15.0
2026-01-23 09:45:00+00:00,2026-01-23 11:00:00+00:00,SHORT,1,6928.0,6934.0,-33.74,stop,75.0
