batch,exp_id,status,architecture,labeling_method,sample_weight,cv_method,calibration,feature_set,median_test_auc,median_train_auc,std_test_auc,median_pr_auc,median_brier,pct_signals_055,pct_signals_060,est_trades_per_day,train_test_gap,n_successful_folds,score
batch3,batch3_exp_00058,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00059,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00060,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00061,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00062,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00063,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5181012338883537,0.904545114658199,0.05808882614330819,0.5569033224520494,0.297661076214209,0.31343283582089554,0.27185501066098083,3.6503883969797375,0.3718739641524615,9,0.4362338746613704
batch3,batch3_exp_00064,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00065,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00066,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5172446218063391,0.9042686203280718,0.058347385347046796,0.5547055612196231,0.2975616382071351,0.31449893390191896,0.27611940298507465,3.633005595089358,0.37152566665436276,9,0.4361463466445711
batch3,batch3_exp_00067,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00068,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00069,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00070,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00071,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5183924750637172,0.9071807883022525,0.07447269014451155,0.5367018151898206,0.2956122190486006,0.19474727452923687,0.1605550049554014,3.1040871934604906,0.3565671976944673,9,0.3889343948499251
batch3,batch3_exp_00072,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.49922615101682954,0.8892073560056973,0.06944608890635945,0.5686316097555073,0.24853699668774476,0.25259515570934254,0.02191464821222607,2.5157955198161974,0.3147734497479586,9,0.40057375289383473
batch3,batch3_exp_00073,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.513489159070116,0.9217855867956606,0.05857569373898721,0.5717825826204626,0.2996849046250123,0.276399307559146,0.22908251586843623,3.515522518583297,0.38810159982843423,9,0.418653218465728
batch3,batch3_exp_00074,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5192605843768635,0.9054372001384212,0.05969888760686048,0.5557825137457714,0.2991451674521716,0.2953091684434968,0.2478678038379531,3.5010940919037203,0.3735142281884655,9,0.4296800180035168
